Deterministic(1) for srand(42), max 200001, min 100000

Matrix size | Double                    | Integer
795 x 795   | -64725424790790.563229    |-166292810053
798 x 798   | 152227208525840.383987    | 383155499708
800 x 800   | -97982716161791.959282    | 367655419259
1995 x 1995 | 287561651238916.235046    |-428767214660
2000 x 2000 | -76600776644801.997589    | 475901762408
4000 x 4000 |                           | 5392656653293
4005 x 4005 |                           |-5453940666657
4009 x 4009 |                           |-3505368871168
6000 x 6000 |                           |-4898432053840
6004 x 6004 |                           |-15563700873639
7995 x 7995 |                           | 21753084039703
7999 x 7999 |                           | 892562333677
8000 x 8000 |                           | 14535340746523
